adult,backdrop_path,id,name,original_name,overview,poster_path,media_type,original_language,genre_ids,popularity,first_air_date,softcore,vote_average,vote_count,origin_country,title,original_title,release_date,video
False,/aJtG4txtmiRHwAAqENQHZvBs6kY.jpg,136315,The Bear,The Bear,"Carmy, a young fine-dining chef, comes home to Chicago to run his family sandwich shop. As he fights to transform the shop and himself, he works alongside a rough-around-the-edges crew that ultimately reveal themselves as his chosen family.",/eKfVzzEazSIjJMrw9ADa2x8ksLz.jpg,tv,en,"[18, 35]",114.8021,2022-06-23,False,8.139,1762,['US'],,,,
False,/piV2OnzTZCyGBP9JCjlHIgKGlfo.jpg,454639,,,"After being separated for 15 years, the Sword of Power leads Prince Adam back to Eternia, where he discovers his home shattered under the fiendish rule of Skeletor. To save his family and his world, Adam must join forces with his closest allies, Teela and Duncan/Man-At-Arms, and embrace his true destiny as He-Man — the most powerful man in the universe.",/3YMd9Ogae4rDKLWuAZFuse9xhc5.jpg,movie,en,"[28, 14, 878]",126.2101,,False,7.15,319,,Masters of the Universe,Masters of the Universe,2026-06-03,False
False,/vjMvFSmGUxEtqVdaZgvFee9XkZl.jpg,969681,,,Fighting crime full-time as Spider-Man in a world that doesn't remember him—and the pressure of seeing his old friends move on without him—sparks a change in Peter Parker he may not have the power to control. But that transformation might also be the only thing that can stop a shocking new threat to the city and those he loves - a powerful villain no one can even see.,/yyB2VJEW3an2xCdcYCPQhn9QERR.jpg,movie,en,"[878, 28, 12]",74.2206,,False,0.0,0,,Spider-Man: Brand New Day,Spider-Man: Brand New Day,2026-07-29,False
False,/bdwv8Hsu4Bnz8aRbH5MQ9clQ0DG.jpg,1397385,,,"A tightly wound realtor's picture-perfect life gets an extreme makeover when his lovably chaotic ""little brother"" suddenly reappears.",/hIJpXb7Xaje2mebN9ylsS7blQzP.jpg,movie,en,[35],140.3757,,False,6.4,70,,Little Brother,Little Brother,2026-06-18,False
False,/xWBiXclrRmTggQHMRsIn84YHavs.jpg,1273221,,,"Twenty-six years after outrunning a suspiciously familiar masked killer, the Core Four are back in the killer's crosshairs and no horror movie IP is safe.",/reZ8NInXjMkkaOpUHcI3Pn7iaRN.jpg,movie,en,"[35, 27]",192.3462,,False,5.544,363,,Scary Movie,Scary Movie,2026-06-03,False
False,/oBJ6dZ6A1tY1O94RmWnJkkQVbLz.jpg,286360,Notes from the Last Row,맨 끝줄 소년,"A literature professor discovers a student's talent and offers him writing lessons — but as he sinks into the story, their sessions spiral into chaos.",/paRFCxAJRZOypfgnzYLo6KH5jjO.jpg,tv,ko,"[9648, 18]",273.5284,2026-06-26,False,9.2,9,['KR'],,,,
False,/z0R6ToCsMMkLwuQXjzzdd1QCdJv.jpg,278178,I Will Find You,I Will Find You,"Wrongfully imprisoned for murdering his own son, a father sets out on a desperate rescue mission after learning the boy may still be alive.",/pb9oYHHNzauiCQZT03MpDAg46GI.jpg,tv,en,"[18, 9648, 80]",179.0183,2026-06-18,False,8.234,141,['US'],,,,
False,/xMoXsOgF0hBP7iVj7ZPIrFtTeL3.jpg,1315772,,,"This is the rambunctious, ridiculous and totally true story of how the Minions conquered Hollywood, became movie stars, lost everything, unleashed monsters onto the world and then banded together to try and save the planet from the mayhem they had just created.",/nz7i42yhLIJ4ve9JKgM6NthoLHO.jpg,movie,en,"[12, 16, 35, 10751, 14]",79.0398,,False,7.088,17,,Minions & Monsters,Minions & Monsters,2026-06-24,False
False,/dpHoPHMSMkFZWt44FGkpEZ61Ptd.jpg,1340206,,,"A gifted piano tuner's meticulous skills for tuning pianos lead him to discover an unexpected aptitude for cracking safes, turning his life upside down.",/5OvA3i9wZs5jHu0DCrfmXlzAM67.jpg,movie,en,"[80, 18, 10402, 53]",67.05,,False,7.2,105,,Tuner,Tuner,2026-05-21,False
False,/ufSwlnECLoUbBjPrFqEQcWBzHwc.jpg,936075,,,"The story of Michael Jackson, one of the most influential artists the world has ever known, and his life beyond the music. His journey from the discovery of his extraordinary talent as the lead of the Jackson Five, to the visionary artist whose creative ambition fueled a relentless pursuit to become the biggest entertainer in the world, highlighting both his life off-stage and some of the most iconic performances from his early solo career.",/zm0KAbOjlt9eR5y7vDiL2dEOwMl.jpg,movie,en,"[10402, 18]",346.6964,,False,8.699,3064,,Michael,Michael,2026-04-22,False
False,/2WU6Y6aonzD6uAaCmNnEFlesxxJ.jpg,614945,,,"A young woman's hilariously confessional voicemails to her late sister are unknowingly redirected to a stranger, who begins to fall in love from afar.",/canZTWSxACSnAluir3dCtMxKpA1.jpg,movie,en,"[10749, 35]",177.7415,,False,8.274,288,,Voicemails for Isabelle,Voicemails for Isabelle,2026-06-20,False
False,/9itOpkXcVrJDlGvRDMaLjUdTwrs.jpg,219971,The Agency,The Agency,"Covert CIA agent Martian is ordered to abandon his undercover life and return to London Station. When the love he left behind unexpectedly reappears, their romance reignites, pitting his career, his real identity and his mission against his heart while hurling them both into a deadly game of international intrigue and espionage.",/fDZgOeTiplrl0skvK6IIyejHLQF.jpg,tv,en,"[18, 9648]",75.4617,2024-12-01,False,7.093,227,['US'],,,,
False,/xUB3xFMgsHgPmdWnUWkHTJ03vHa.jpg,82452,Avatar: The Last Airbender,Avatar: The Last Airbender,A young boy known as the Avatar must master the four elemental powers to save a world at war — and fight a ruthless enemy bent on stopping him.,/lzZpWEaqzP0qVA5nkCc5ASbNcSy.jpg,tv,en,"[10759, 10765, 18, 10751]",229.1439,2024-02-22,False,7.79,1145,['US'],,,,
